나이,성별,결혼,종교,학위,부서,이직계획유무,건강상태,근무지역,공감_tot,공감_com,공감_sen,공감_ins,이직여부,이직+퇴직여부,임상경력(일),병동경력(일),최종임상경력(일),최종병동경력(일)_참고만,최종임상경력(월),최종임상경력(월)_소수점 반올림,최종임상경력(년),년차_2
27,2,2,5,2,2,1,3,4,3.59,3.38,4,3.5,1,1,2980,545,2787,352,93,93,8,4
26,2,2,1,2,1,1,2,1,3.94,3.88,4,4,1,1,2035,2035,1978,1978,66,66,7,3
29,2,2,5,1,1,2,2,1,3.71,3.63,3.6,4,0,0,1215,1885,1215,1885,41,41,4,3
26,2,1,5,2,1,1,3,1,3.88,3.88,4,3.75,0,0,2520,760,2520,760,84,84,7,4
26,2,2,5,1,1,1,2,1,3.88,3.75,4.4,3.5,0,0,2095,1000,2095,1000,70,70,7,3
35,2,1,5,1,2,2,2,3,3.88,3.88,4.2,3.5,0,0,2095,1245,2095,1245,70,70,7,3
32,2,1,3,1,2,2,2,1,3.29,3.38,3.4,3,0,0,2490,2490,2490,2490,83,83,7,4
28,2,2,2,2,2,2,1,5,4.76,4.63,5,4.75,0,0,2370,1855,2370,1855,79,79,7,4
29,2,1,1,2,2,2,3,5,4,3.88,4.2,4,0,0,3830,2005,3830,2005,128,128,11,4
27,2,2,5,1,2,1,2,3,4.06,3.88,4.6,3.75,0,0,2370,2370,2370,2370,79,79,7,4
29,2,2,5,2,1,1,2,1,3.82,3.88,3.8,3.75,0,0,3615,2005,3615,2005,121,121,11,4
27,2,2,2,1,2,2,2,5,3.47,3.25,3.6,3.75,0,0,3250,760,3250,760,108,108,9,4
30,2,2,2,1,2,2,3,5,3.47,4,3,3,1,1,2735,605,2444,314,81,81,7,4
27,2,2,5,2,1,2,2,1,4.65,4.75,4.6,4.5,0,0,2855,605,2855,605,95,95,8,4
26,2,2,5,2,2,2,2,1,4.06,4.5,3.8,3.5,0,0,1760,1490,1760,1490,59,59,6,3
23,2,2,1,1,1,1,2,1,4.18,4.63,3.6,4,1,1,1155,395,864,104,29,29,3,2
27,2,2,5,2,1,2,4,5,4.12,4,4.2,4.25,0,0,1580,1490,1580,1490,53,53,6,3
32,2,2,1,2,1,1,3,1,3.35,4,2.6,3,0,0,3375,1395,3375,1395,113,113,10,4
35,2,2,5,2,2,1,3,1,4,3.63,4.4,4.25,0,0,4045,1855,4045,1855,135,135,12,4
28,2,2,5,2,1,1,2,1,3.94,3.88,4.4,3.5,0,0,2615,1305,2615,1305,87,87,8,4
32,2,2,5,1,1,2,2,5,3,2.88,3.4,2.75,1,1,2585,425,2325,165,78,78,7,4
25,2,2,2,2,2,1,3,1,4,4.38,4,3.25,0,0,1215,1215,1215,1215,41,41,4,3
49,2,1,1,2,1,1,1,1,3.71,3.75,3.8,3.5,0,0,3890,910,3890,910,130,130,11,4
33,2,2,2,2,1,2,2,1,4.12,4.25,3.6,4.5,0,0,4045,1000,4045,1000,135,135,12,4
25,2,2,5,2,1,2,2,3,4.06,4,4.2,4,0,0,1580,1490,1580,1490,53,53,6,3
29,2,1,5,1,2,2,2,3,3.82,3.63,3.8,4.25,0,0,2735,515,2735,515,91,91,8,4
30,2,2,5,2,2,1,2,5,3.76,3.63,4,3.75,1,1,2220,455,2087,322,70,70,7,3
38,2,1,5,2,1,2,4,1,3.88,4.38,3.6,3.25,0,0,3800,820,3800,820,127,127,11,4
28,2,2,5,2,2,1,3,3,3.47,3.25,4,3.25,1,1,2585,1640,1878,933,63,63,7,3
27,2,2,2,2,2,2,2,5,3.82,3.63,4,4,0,0,1855,970,1855,970,62,62,7,3
27,2,2,1,2,1,1,2,1,3.12,3,3.4,3,1,1,1855,1125,1475,745,49,49,6,3
30,2,2,5,1,2,2,2,3,3.76,3.38,4,4.25,0,0,3950,1855,3950,1855,132,132,11,4
30,2,2,2,2,1,1,3,5,3.29,3.63,3,3,1,1,3740,605,3480,345,116,116,10,4
25,2,2,5,2,1,1,3,5,3.94,3.75,4.4,3.75,1,1,2220,850,1687,317,56,56,6,3
33,2,2,1,2,1,2,4,1,3.65,3.88,3.4,3.5,0,0,4045,2735,4045,2735,135,135,12,4
31,2,1,1,1,2,2,3,1,4.24,4.13,4.4,4.25,1,1,2520,545,2118,143,71,71,7,3
29,2,2,2,1,2,2,3,1,3.88,3.75,4.4,3.5,0,0,3220,455,3220,455,107,107,9,4
35,2,1,1,2,2,2,2,1,4.35,4.38,4.4,4.25,1,1,3345,395,3177,227,106,106,9,4
27,2,2,5,2,2,2,3,1,3.29,3.13,3.8,3,0,0,2735,1000,2735,1000,91,91,8,4
53,2,1,5,1,1,2,2,1,3.82,3.88,3.8,3.75,1,1,4315,4315,3906,3906,130,130,11,4
27,2,2,1,2,1,2,3,5,3.82,3.63,4,4,0,0,2430,1550,2430,1550,81,81,7,4
28,2,2,5,2,1,1,3,1,3.65,3.63,3.4,4,1,1,1185,455,810,80,27,27,3,2
28,2,2,2,2,1,1,3,1,3.59,3.63,3.6,3.5,1,1,1520,790,864,134,29,29,3,2
22,2,2,5,1,2,1,2,5,3.53,3.88,3.4,3,0,0,1335,1335,1335,1335,45,45,4,3
30,2,1,5,1,1,1,3,5,3.88,3.75,3.8,4.25,0,0,2585,1490,2585,1490,86,86,8,4
35,2,1,1,2,1,2,2,1,3.76,3.75,4.4,3,1,1,2520,545,2343,368,78,78,7,4
25,2,2,5,2,2,1,3,3,3.76,3.63,4.6,3,0,0,1245,485,1245,485,42,42,4,3
29,2,2,5,2,2,2,3,4,3.71,3.38,4,4,1,1,2370,455,2203,288,73,73,7,4
25,2,2,1,2,2,1,2,1,3.53,3.75,3.2,3.5,1,1,2005,1275,1746,1016,58,58,6,3
33,2,2,4,2,1,1,2,1,3.35,3.88,2.8,3,0,0,1275,1125,1275,1125,43,43,4,3
26,2,2,5,2,2,1,2,3,4.29,3.88,4.6,4.75,1,1,1490,395,715,-380,24,24,2,2
26,2,1,2,2,1,1,3,1,4,4.25,4,3.5,1,1,1855,1490,1748,1383,58,58,6,3
31,2,1,1,3,1,2,3,1,4,4.13,3.8,4,0,0,3315,1490,3315,1490,111,111,10,4
25,2,2,2,2,1,1,3,1,3.94,3.63,4.4,4,0,0,1490,1490,1490,1490,50,50,6,3
25,2,2,1,2,2,2,1,1,4.65,4.75,4.8,4.25,0,0,1580,1490,1580,1490,53,53,6,3
30,2,1,1,2,1,1,2,1,4,4.38,3.6,3.75,0,0,1640,1550,1640,1550,55,55,6,3
30,2,2,5,2,2,1,2,1,3.94,4.13,4,3.5,0,0,4045,2250,4045,2250,135,135,12,4
39,2,1,5,2,2,2,2,1,3.94,3.88,4,4,1,1,4345,485,4177,317,139,139,12,4
31,2,1,3,2,1,2,2,3,3.65,3.63,3.8,3.5,0,0,3680,2220,3680,2220,123,123,11,4
28,2,2,5,1,1,2,2,1,4.06,3.88,4.4,4,0,0,3585,1915,3585,1915,120,120,10,4
32,2,1,1,2,2,1,3,1,3.12,3.38,3.2,2.5,0,0,4345,2250,4345,2250,145,145,13,4
39,2,1,1,1,2,2,2,1,2.94,3.13,3,2.5,0,0,1855,1760,1855,1760,62,62,7,3
35,2,1,5,2,2,2,2,4,4.29,4.5,4.4,3.75,1,1,2155,455,1773,73,59,59,6,3
40,2,1,5,1,1,2,4,3,3.47,3.38,3.6,3.5,1,1,3315,3315,2995,2995,100,100,9,4
24,2,2,5,1,2,2,3,5,3.59,3.63,3.6,3.5,1,1,2035,455,1684,104,56,56,6,3
30,2,2,5,1,1,2,2,1,3.24,3.38,3,3.25,0,0,3315,1125,3315,1125,111,111,10,4
24,2,2,3,2,1,1,2,5,4,4,4,4,0,0,1700,1125,1700,1125,57,57,6,3
24,2,2,1,2,2,1,3,1,4.18,3.88,4.8,4,0,0,1490,1125,1490,1125,50,50,6,3
27,2,2,3,2,1,1,3,5,3.65,3.5,4.4,3,0,0,2585,635,2585,635,86,86,8,4
28,2,2,5,2,1,2,2,1,3.76,3.88,3.8,3.5,0,0,3615,1790,3615,1790,121,121,11,4
34,2,2,3,1,1,1,2,5,3.35,3.5,3.4,3,0,0,4315,1155,4315,1155,144,144,12,4
30,2,2,5,2,1,2,2,5,4.12,3.75,4.8,4,0,0,4045,2280,4045,2280,135,135,12,4
31,2,2,1,1,2,2,1,1,4.12,4,4.6,3.75,0,0,3680,1125,3680,1125,123,123,11,4
28,2,2,5,1,2,1,2,1,3.94,4,4.2,3.5,0,0,3680,2220,3680,2220,123,123,11,4
37,2,1,5,2,2,1,3,4,3.94,3.88,4.2,3.75,1,1,4045,515,3907,377,130,130,11,4
26,2,2,5,2,2,1,1,1,3,3,3,3,1,1,1550,1490,1017,957,34,34,3,2
28,2,2,1,1,2,2,2,1,2.88,2.63,3.4,2.75,0,0,3585,1670,3585,1670,120,120,10,4
34,2,1,5,2,1,2,2,1,3.47,3.63,3.6,3,1,1,4345,455,4238,348,141,141,12,4
31,2,1,1,1,2,2,2,4,3.94,4.13,3.8,3.75,0,0,4195,3070,4195,3070,140,140,12,4
37,2,2,3,1,2,2,3,1,3.88,4,3.6,4,1,1,3495,3495,3204,3204,107,107,9,4
26,2,2,3,2,1,1,3,5,3.29,3.63,3.2,2.75,0,0,1855,1855,1855,1855,62,62,7,3
30,2,2,3,2,1,1,3,4,3.18,3,3.4,3.25,1,1,4045,790,3270,15,109,109,10,4
31,2,2,2,2,2,1,3,1,3.88,3.5,4.4,4,0,0,820,820,820,820,27,27,3,2
38,1,1,5,2,2,2,1,1,3.47,3.75,3.2,3.25,0,0,1185,1155,1185,1155,40,40,4,3
26,2,2,5,2,1,2,3,1,4.53,4.5,4.8,4.25,1,1,1855,395,1749,289,58,58,6,3
33,2,1,1,2,2,2,2,1,4.47,3.88,5,5,1,1,2950,395,2771,216,92,92,8,4
30,2,2,2,2,2,2,2,1,3.59,3.5,4,3.25,0,0,1760,1125,1760,1125,59,59,6,3
23,2,2,5,2,2,1,3,1,3.41,3.63,3.8,2.5,0,0,1245,1000,1245,1000,42,42,4,3
24,2,2,5,2,1,1,1,1,3.24,2.5,3.8,4,0,0,1700,1700,1700,1700,57,57,6,3
29,2,1,5,2,1,2,3,5,3.88,3.88,4,3.75,0,0,4045,1245,4045,1245,135,135,12,4
26,2,2,5,2,2,1,3,1,3.88,3.75,4,4,1,1,1520,605,776,-139,26,26,3,2
39,2,1,1,3,1,1,3,3,3.53,3.63,3.8,3,0,0,2490,2035,2490,2035,83,83,7,4
26,2,2,5,2,2,1,2,1,4.12,4.13,4,4.25,0,0,1490,970,1490,970,50,50,6,3
28,2,1,5,2,2,1,2,5,3.82,3.63,4,4,0,0,3100,1640,3100,1640,103,103,9,4
25,2,2,2,2,2,1,2,1,3.35,3.63,3.2,3,0,0,2005,1245,2005,1245,67,67,7,3
28,2,2,2,2,1,1,2,1,3.94,3.88,4,4,0,0,2005,1490,2005,1490,67,67,7,3
25,2,2,5,1,1,2,2,3,3.59,3.5,3.8,3.5,0,0,2520,1185,2520,1185,84,84,7,4
30,2,2,5,1,1,2,2,1,2.82,2.88,3,2.5,0,0,3740,455,3740,455,125,125,11,4
30,2,2,1,2,1,1,4,1,4.41,4.63,4.8,3.5,0,0,3250,1425,3250,1425,108,108,9,4
25,2,2,5,2,2,1,3,1,4.24,4,4.2,4.75,0,0,910,910,910,910,30,30,3,2
33,2,1,5,3,1,2,3,1,4.35,4.38,4.4,4.25,0,0,4045,1915,4045,1915,135,135,12,4
35,2,1,1,2,2,2,3,1,3.65,3.38,3.8,4,0,0,4045,4045,4045,4045,135,135,12,4
39,2,1,1,1,2,2,2,1,3.59,3.25,4,3.75,0,0,4045,1125,4045,1125,135,135,12,4
38,2,2,5,1,1,1,3,1,3.29,3.25,3.4,3.25,1,1,4345,395,4279,329,143,143,12,4
33,2,1,1,1,1,2,3,1,3.53,3.75,2.8,4,1,1,4045,515,3846,316,128,128,11,4
30,2,1,2,1,1,1,3,1,4.24,4,4.2,4.75,1,1,2125,760,1415,50,47,47,4,3
26,2,1,1,1,1,2,2,1,4.12,4.13,4.2,4,0,0,910,910,910,910,30,30,3,2
25,2,2,1,1,1,1,3,4,3.59,3.75,3.6,3.25,1,1,2490,850,1834,194,61,61,7,3
28,2,2,5,1,2,2,3,1,3.59,3.38,3.8,3.75,1,1,1885,940,1229,284,41,41,4,3
29,2,2,5,1,1,1,3,1,3.65,3.75,4,3,0,0,2950,1640,2950,1640,98,98,9,4
26,2,2,5,2,1,1,1,1,4.35,4.25,4.8,4,0,0,1245,665,1245,665,42,42,4,3
30,2,2,2,2,1,1,3,1,3.76,3.5,4.2,3.75,0,0,1580,1125,1580,1125,53,53,6,3
26,2,2,5,2,2,1,3,1,3.65,4,3.8,2.75,0,0,2585,545,2585,545,86,86,8,4
32,2,2,5,1,1,1,2,1,3.47,3.63,3.6,3,1,1,3435,910,2809,284,94,94,8,4
34,2,1,5,2,1,1,3,1,3.53,3,4.2,3.75,0,0,4045,1275,4045,1275,135,135,12,4
27,2,2,3,1,1,2,3,1,3.71,3.88,3.6,3.5,0,0,1185,1245,1185,1245,40,40,4,3
31,2,2,2,1,1,1,3,1,3.12,3.13,3.6,2.5,0,0,4105,940,4105,940,137,137,12,4
26,2,2,5,1,1,2,3,1,3.41,3.25,3.8,3.25,0,0,2125,1245,2125,1245,71,71,7,3
33,2,2,2,1,2,2,3,1,4,3.88,4.2,4,0,0,4345,2490,4345,2490,145,145,13,4
25,2,2,3,1,2,2,2,1,2.76,2.75,3,2.5,0,0,2585,1490,2585,1490,86,86,8,4
29,2,2,1,2,1,1,2,1,3,2.75,3.4,3,0,0,3770,1580,3770,1580,126,126,11,4
30,2,1,5,2,1,1,2,1,3.88,4,4,3.5,0,0,3375,850,3375,850,113,113,10,4
32,2,1,5,1,2,1,3,1,3.53,3.63,3.6,3.25,0,0,4075,1155,4075,1155,136,136,12,4
30,2,2,2,2,2,2,2,1,3.94,3.88,4,4,0,0,4075,2980,4075,2980,136,136,12,4
34,1,1,1,2,1,2,2,4,3.59,3.38,4,3.5,0,0,2950,1855,2950,1855,98,98,9,4
29,2,2,3,1,2,1,3,1,3.29,3.38,3.4,3,0,0,4045,2460,4045,2460,135,135,12,4
31,2,2,5,1,1,2,2,1,2.94,2.63,3.4,3,1,1,3375,575,3038,238,101,101,9,4
29,2,1,5,2,1,1,2,1,3.65,3.63,4,3.25,1,1,3950,455,3813,318,127,127,11,4
32,2,2,5,2,2,1,2,1,3.18,2.75,3.6,3.5,0,0,3950,2585,3950,2585,132,132,11,4
31,2,2,5,1,2,2,2,1,3.88,3.88,3.8,4,0,0,4135,4135,4135,4135,138,138,12,4
23,2,2,1,2,1,2,2,1,3.76,4,4.2,2.75,0,0,790,790,790,790,26,26,3,2
27,2,2,1,2,1,2,3,1,3.06,2.75,3.6,3,0,0,760,2220,760,2220,25,25,3,2
32,2,2,2,1,2,1,3,1,3.18,3,3.2,3.5,0,0,4345,2705,4345,2705,145,145,13,4
29,2,1,5,2,1,2,2,1,3.35,3.5,3.4,3,0,0,3830,1490,3830,1490,128,128,11,4
31,1,2,5,2,1,1,3,1,4.24,4.38,4.2,4,0,0,1275,1275,1275,1275,43,43,4,3
30,2,2,5,2,1,2,2,4,4.18,3.75,4.6,4.5,0,0,760,760,760,760,25,25,3,2
31,2,1,5,1,1,2,2,5,3.35,3.38,3.6,3,0,0,4105,2065,4105,2065,137,137,12,4
26,2,2,5,2,2,2,2,1,4,3.75,4.4,4,0,0,2220,1490,2220,1490,74,74,7,4
28,1,1,5,1,1,1,2,4,3.06,3.25,2.8,3,1,1,1855,395,1809,349,60,60,6,3
30,2,2,1,2,1,2,2,1,3.65,3.5,4,3.5,1,1,3315,545,2963,193,99,99,9,4
31,2,1,3,2,1,1,2,1,3.41,3.25,3.6,3.5,0,0,4045,2220,4045,2220,135,135,12,4
28,2,1,5,1,2,2,3,1,3.41,3.25,3.8,3.25,0,0,2220,395,2220,395,74,74,7,4
27,2,2,5,2,1,1,2,1,3.82,3.38,4.4,4,1,1,2095,665,1743,313,58,58,6,3
28,2,2,5,2,2,1,3,3,2.94,2.88,3,3,0,0,2220,1060,2220,1060,74,74,7,4
28,2,2,5,1,1,2,2,5,3.76,3.88,3.8,3.5,0,0,3315,2735,3315,2735,111,111,10,4
35,2,1,1,2,2,1,2,1,3.47,3.38,4.2,2.75,0,0,1490,1275,1490,1275,50,50,6,3
33,2,2,2,2,1,2,2,1,3.41,3.5,3.4,3.25,0,0,4255,4255,4255,4255,142,142,12,4
28,2,2,2,1,2,2,2,1,4.18,4.13,4.4,4,0,0,3435,1155,3435,1155,115,115,10,4
27,2,2,3,1,2,1,3,5,3.88,4,3.8,3.75,0,0,3315,1125,3315,1125,111,111,10,4
27,1,2,3,2,1,1,3,1,4.35,4.38,4,4.75,1,1,1945,820,1428,303,48,48,4,3
30,2,2,1,2,1,2,3,5,3.82,3.88,3.6,4,0,0,3710,1060,3710,1060,124,124,11,4
27,2,2,5,2,1,1,2,1,3.71,3.5,3.8,4,0,0,1700,940,1700,940,57,57,6,3
26,2,2,5,2,2,1,2,5,3.41,3.63,3.4,3,0,0,2280,1700,2280,1700,76,76,7,4
29,2,2,2,1,2,1,4,1,3.65,4,4,2.5,1,1,665,395,588,318,20,20,2,2
43,2,1,1,1,1,2,2,1,3.71,3.75,3.6,3.75,0,0,4345,2220,4345,2220,145,145,13,4
27,2,2,1,2,1,1,3,1,4.06,4,4.2,4,0,0,2765,605,2765,605,92,92,8,4
42,2,1,5,1,2,1,2,1,3.88,3.88,4.2,3.5,0,0,2370,760,2370,760,79,79,7,4
29,2,1,1,2,2,1,3,1,4,4.13,3.8,4,0,0,3890,575,3890,575,130,130,11,4
32,2,2,5,2,2,2,2,1,3.47,3.25,3.8,3.5,0,0,3680,1490,3680,1490,123,123,11,4
24,2,2,5,2,2,2,1,2,3.71,3.75,3.6,3.75,0,0,1335,1000,1335,1000,45,45,4,3
47,2,1,3,2,1,2,3,1,3.71,3.88,3.4,3.75,0,0,2310,1335,2310,1335,77,77,7,4
29,2,2,5,1,1,2,3,1,3.06,2.75,3.6,3,1,1,3465,425,3085,45,103,103,9,4
26,2,2,5,2,2,1,2,1,4.29,4.5,4,4.25,1,1,2035,515,1836,316,61,61,7,3
26,2,2,1,2,2,2,3,1,4.35,4.13,4.8,4.25,1,1,1760,395,1622,257,54,54,6,3
25,2,2,2,1,2,1,3,1,3.35,3.38,3.2,3.5,1,1,2585,760,2138,313,71,71,7,3
26,2,2,3,1,2,1,3,1,3.82,3.75,4.2,3.5,1,1,2585,970,1972,357,66,66,7,3
25,2,2,2,2,1,1,3,3,4,4.13,4,3.75,0,0,1155,1155,1155,1155,39,39,4,3
28,2,1,5,2,1,1,2,4,3.24,2.75,4.2,3,0,0,2250,545,2250,545,75,75,7,4
26,2,1,1,2,1,2,2,1,4.71,4.88,4.4,4.75,0,0,3315,760,3315,760,111,111,10,4
25,2,2,3,2,1,1,1,1,3.24,2.88,3.8,3.25,1,1,2250,820,1777,347,59,59,6,3
32,2,2,2,2,1,1,2,4,4.29,4,4.6,4.5,1,1,4045,665,3482,102,116,116,10,4
29,2,2,2,2,2,1,2,1,3.59,3.63,3.6,3.5,0,1,2675,760,2264,349,75,75,7,4
32,2,2,1,1,1,1,3,1,3.76,3.38,4.4,3.75,1,1,2250,1060,1625,435,54,54,6,3
46,2,1,3,3,1,1,2,5,3.35,3.25,3.2,3.75,0,1,4345,695,3993,343,133,133,12,4
28,2,1,5,2,1,1,1,1,3.94,4,4,3.75,1,1,2950,1000,2204,254,73,73,7,4
24,2,2,5,2,1,1,3,1,3.53,3.75,3.8,2.75,0,0,1155,1155,1155,1155,39,39,4,3
25,2,2,2,1,1,1,1,5,2.71,2.88,2.6,2.5,1,1,1490,1490,1473,1473,49,49,6,3
29,2,1,2,2,1,2,3,1,4,4.5,3.8,3.25,0,0,2980,2980,2980,2980,99,99,9,4
28,2,2,1,2,2,1,2,5,3.88,3.75,4,4,0,0,3070,1365,3070,1365,102,102,9,4
25,2,2,5,2,2,2,2,1,3.29,3.63,3.2,2.75,1,1,1855,1125,1089,359,36,36,3,2
25,2,2,1,2,2,1,2,3,3.71,3.38,4.4,3.5,1,1,1640,760,1260,380,42,42,4,3
37,2,1,1,1,2,2,2,1,4.06,4.13,4.2,3.75,0,0,2585,1855,2585,1855,86,86,8,4
27,2,2,3,1,1,1,3,1,3.41,3.25,3.2,4,0,0,2765,1855,2765,1855,92,92,8,4
24,2,2,5,2,1,1,3,1,4.29,4.5,4.2,4,1,1,1305,760,711,166,24,24,2,2
36,1,1,2,1,2,1,1,1,3.65,3.63,4.4,2.75,1,1,3130,425,3068,363,102,102,9,4
27,2,2,5,2,2,1,3,1,3.35,3.38,3.6,3,0,0,1855,1855,1855,1855,62,62,7,3
31,2,1,2,3,1,2,2,4,4.35,4.75,4.2,3.75,0,0,2490,1395,2490,1395,83,83,7,4
31,2,2,5,2,2,1,2,1,4,3.88,4.2,4,0,0,2645,1275,2645,1275,88,88,8,4
30,2,2,5,1,2,2,2,5,3.18,2.88,3.8,3,0,0,4045,2220,4045,2220,135,135,12,4
37,2,2,5,1,1,1,3,5,3.59,3.5,3.8,3.5,1,1,2250,880,1670,300,56,56,6,3
29,2,2,5,2,2,1,2,1,4,4,4,4,1,1,2220,1155,1445,380,48,48,4,3
28,2,2,5,1,2,1,4,1,3.59,3,4.6,3.5,0,0,3980,3980,3980,3980,133,133,12,4
20,2,2,5,2,2,1,2,1,3.29,3.25,3.6,3,1,1,2645,695,2293,343,76,76,7,4
26,2,2,5,2,2,2,2,1,3.94,4,4,3.75,0,0,2370,1425,2370,1425,79,79,7,4
26,1,2,5,2,1,2,1,1,3.76,3.63,3.6,4.25,1,1,1245,425,1197,377,40,40,4,3
27,1,2,5,2,2,1,2,1,4.59,4.5,4.6,4.75,1,1,2095,1000,1382,287,46,46,4,3
28,2,1,3,2,1,2,1,5,3.65,3.25,4,4,0,0,2430,2430,2430,2430,81,81,7,4
24,2,2,1,2,2,2,3,1,4.35,4.25,4.6,4.25,1,1,1395,395,1318,318,44,44,4,3
32,2,2,3,2,2,1,1,5,3.76,3.88,4,3.25,1,1,2250,760,2050,560,68,68,7,3
27,2,2,5,1,1,2,1,1,3.47,3.5,3.6,3.25,0,0,3770,2430,3770,2430,126,126,11,4
29,1,2,1,2,2,1,1,1,4.35,4.25,4.4,4.5,0,0,3100,2735,3100,2735,103,103,9,4
24,2,2,5,1,2,2,3,1,3.65,3.63,3.6,3.75,0,0,1640,1490,1640,1490,55,55,6,3
27,2,2,5,2,1,1,3,3,3.88,3.75,4.2,3.75,1,1,1915,455,1454,-6,48,48,4,3
29,2,2,2,2,1,2,2,1,3.59,4,3.2,3.25,0,0,2220,2430,2220,2430,74,74,7,4
32,2,1,2,3,2,1,3,1,3.47,3.63,3.6,3,1,1,3770,635,3453,318,115,115,10,4
28,2,2,1,1,2,2,3,1,3.94,4,3.8,4,1,1,3010,695,2655,340,89,89,8,4
28,2,2,5,1,1,1,2,5,3.35,3,4,3.25,0,0,2950,1155,2950,1155,98,98,9,4
25,2,2,5,2,1,1,3,4,4.12,4.25,4,4,1,1,1395,1125,649,379,22,22,2,2
24,2,2,5,1,2,1,2,5,3.29,3.38,3.2,3.25,0,0,2765,1155,2765,1155,92,92,8,4
25,2,2,1,2,1,2,1,1,4.29,4,4.4,4.75,1,1,1855,1305,1687,1137,56,56,6,3
27,2,2,5,2,2,2,2,1,4.12,4.38,4,3.75,0,0,2220,2220,2220,2220,74,74,7,4
22,2,2,5,2,2,2,1,1,3.76,3.88,3.6,3.75,0,0,790,790,790,790,26,26,3,2
