나이,성별,결혼,종교_최종,학위_최종,부서,이직계획유무,건강상태_최종,근무지역_최종,공감_tot,공감_com,공감_sen,공감_ins,이직여부,이직+퇴직여부,임상경력(일),최종임상경력(일),최종임상경력(월),최종임상경력(년),병동경력(일),년차_최종,연차별시작문항응답,연차별최종문항응답
26,2,2,2,2,1,2,1,1,3.94,3.63,4.2,4.25,1,1,1855,1291,43,4,545,2,13,13
28,2,2,1,1,1,1,2,2,3.29,3.25,2.8,4,0,0,2855,2855,95,8,1760,3,123,123
24,2,2,2,2,2,2,1,1,3.94,3.88,4.2,3.75,0,0,1245,1245,42,4,1125,2,13,13
30,2,1,1,1,2,1,2,1,3.76,3.5,4.2,3.75,0,0,2585,2585,86,8,1885,3,13,13
27,2,2,1,1,2,1,2,1,3.71,3.75,3.8,3.5,1,1,1855,1230,41,4,515,2,13,13
24,2,2,2,2,2,1,1,2,3.82,3.88,3.6,4,0,0,1215,1215,41,4,1215,2,123,123
26,2,2,1,2,1,1,2,1,3.82,3.5,4.4,3.75,1,1,1975,1603,53,6,1185,2,123,123
48,2,1,2,2,2,2,1,1,4.12,4.13,4.4,3.75,1,1,4345,4268,142,12,455,3,13,13
28,2,2,2,2,2,1,1,1,3.76,3.88,4,3.25,1,1,850,75,3,1,760,1,123,123
38,2,1,2,1,1,1,1,1,3.24,3.13,3.4,3.25,0,0,2950,2950,98,9,1365,3,13,13
29,2,2,2,1,2,1,2,1,3.94,4,4.4,3.25,0,0,2795,2795,93,8,850,3,13,13
31,2,1,2,2,2,1,1,1,4.06,4.13,4.2,3.75,0,0,3315,3315,111,10,760,3,13,13
24,2,2,1,2,1,1,1,1,4.47,4.88,4.4,3.75,0,0,1945,1945,65,7,1855,2,123,123
33,2,2,2,1,1,2,2,2,3.35,3.25,3.6,3.25,1,1,2980,2601,87,8,545,3,123,123
31,2,2,1,2,1,2,2,1,3,3.13,3,2.75,1,1,4045,3877,129,11,485,3,13,13
26,2,2,2,1,2,1,1,1,3.82,3.88,3.8,3.75,0,0,2950,2950,98,9,2370,3,13,13
32,2,2,2,2,1,1,2,2,3.65,3.63,3.8,3.5,0,0,4045,4045,135,12,760,3,13,13
27,2,2,1,2,1,1,1,1,3.47,3.38,3.8,3.25,1,1,2400,2020,67,7,1335,2,123,13
32,2,1,1,2,1,2,1,2,3.82,3.75,4.2,3.5,0,0,3315,3315,111,10,1490,3,13,13
29,2,2,2,2,1,1,1,2,3.18,3.25,3,3.25,0,0,2950,2950,98,9,2220,3,13,13
26,2,2,2,2,1,2,2,1,3.88,3.75,4.2,3.75,0,0,1790,1790,60,6,425,2,13,13
26,2,2,1,2,1,1,2,2,4,4.25,3.8,3.75,1,1,1610,986,33,3,1610,1,123,123
36,2,1,2,1,2,1,1,1,3.18,3,3.6,3,0,0,4345,4345,145,13,4345,3,13,123
32,2,1,2,1,2,1,2,1,3,3,3.2,2.75,0,0,3800,3800,127,11,3800,3,13,13
28,2,2,2,2,1,2,1,2,4.24,4.5,4,4,0,0,1490,1490,50,6,1155,2,123,13
31,2,2,2,1,1,1,2,1,3.53,3.25,4,3.5,0,0,4045,4045,135,12,790,3,13,123
26,2,2,1,1,1,2,1,2,4.12,4.25,4.2,3.75,1,1,2585,2042,68,7,850,2,123,13
31,2,1,1,1,1,1,1,2,4.29,4.13,4.2,4.75,1,1,3465,3105,104,9,575,3,13,13
26,2,2,2,2,1,1,1,1,4.24,4.5,4.2,3.75,1,1,2340,1890,63,7,425,2,13,123
24,2,2,2,2,2,1,2,1,3.82,3.75,3.8,4,1,1,1245,773,26,3,635,1,123,13
35,2,2,2,1,1,2,1,1,4.24,4,4.8,4,0,0,3615,3615,121,11,1275,3,13,13
35,2,2,2,2,1,1,2,1,3.94,3.88,4,4,1,1,3315,2873,96,8,545,3,123,123
34,2,1,2,1,1,1,2,1,3.76,4,3.4,3.75,0,0,4045,4045,135,12,3315,3,13,123
27,2,2,2,2,1,1,1,2,3.65,3.63,3.8,3.5,0,0,1760,1760,59,6,1030,2,13,13
31,2,2,2,2,2,2,1,1,2.65,2.13,3.6,2.5,1,1,3315,2963,99,9,635,3,13,13
37,2,2,2,2,1,2,1,2,3.94,3.5,4.2,4.5,0,0,4345,4345,145,13,1730,3,13,13
28,2,2,1,2,2,2,1,2,4,4,4.2,3.75,0,0,2250,2250,75,7,850,3,13,123
26,2,1,2,1,2,2,1,2,4.12,4.5,3.8,3.75,1,1,2520,1956,65,7,455,2,123,123
23,2,2,1,2,1,1,2,1,3.82,3.75,4,3.75,0,0,1245,1245,42,4,910,2,13,123
34,2,1,1,1,1,2,2,1,3.41,3.13,3.8,3.5,1,1,3890,3722,124,11,485,3,13,13
26,2,2,1,2,2,1,2,1,3.82,4,3.8,3.5,1,1,2520,1955,65,7,515,2,123,13
27,1,2,1,2,1,1,1,1,4.12,3.88,4.4,4.25,0,0,1760,1760,59,6,1395,2,13,13
24,2,2,1,2,2,2,1,2,3.82,4.13,3.6,3.5,0,0,1670,1670,56,6,1670,2,13,13
34,2,1,1,2,1,2,2,1,3.35,3.5,3.6,2.75,0,0,4045,4045,135,12,2220,3,13,13
37,2,2,1,2,1,2,1,1,3.82,3.5,4.2,4,0,0,1520,1520,51,6,910,2,13,13
28,2,1,1,1,2,1,2,1,3.71,3.75,3.8,3.5,0,0,3680,3680,123,11,970,3,13,13
30,2,1,1,2,2,1,2,1,4.47,4.38,4.6,4.5,0,0,2065,2065,69,7,1155,2,123,13
29,2,2,2,2,1,1,1,1,3.35,3,4,3.25,0,0,3860,3860,129,11,910,3,13,13
28,2,2,1,1,2,2,1,1,2.88,3,3,2.5,0,0,2370,2370,79,7,1640,3,13,123
27,2,2,1,2,1,1,2,1,2.94,3,3,2.75,1,1,2585,2092,70,7,395,2,123,13
22,2,2,2,2,1,1,1,2,3.82,4,3.6,3.75,1,1,1335,1136,38,4,515,2,13,13
27,2,2,2,2,2,2,1,1,3.82,3.5,4.4,3.75,0,0,2950,2950,98,9,1395,3,13,13
35,2,2,2,2,1,2,2,1,3.94,4.13,3.6,4,1,1,4045,3328,111,10,1125,3,123,13
27,2,1,2,2,1,2,1,1,4.06,4.25,4.4,3.25,0,0,2220,2220,74,7,1520,3,123,13
25,2,2,2,1,1,1,2,2,3.53,3.5,4,3,1,1,2400,1928,64,7,605,2,123,123
26,2,2,1,2,2,2,1,1,3.82,4,3.6,3.75,0,0,2310,2310,77,7,1855,3,123,123
29,2,2,2,1,1,1,2,1,3.53,3.5,3.4,3.75,1,1,3160,2658,89,8,760,3,13,123
32,2,2,2,2,2,1,2,2,4.41,4.5,4.4,4.25,1,1,4345,3993,133,12,635,3,13,123
27,2,2,2,2,2,1,1,1,4.24,4.5,4.4,3.5,0,0,1640,1640,55,6,2735,2,123,13
29,2,2,1,2,1,1,1,2,3.35,3.38,3.2,3.5,1,1,1855,1625,54,6,575,2,13,13
29,2,2,2,2,2,2,1,1,3.71,3.63,4,3.5,1,1,3315,3148,105,9,3315,3,123,13
36,2,1,1,2,1,2,1,1,3.35,3.63,2.6,3.75,0,0,4075,4075,136,12,1155,3,13,13
34,2,2,1,2,2,2,1,1,4,3.88,4.4,3.75,0,0,2950,2950,98,9,2645,3,123,13
26,2,2,2,1,1,1,2,1,3.53,3.5,3.6,3.5,0,0,2005,2005,67,7,1490,2,123,13
32,2,1,2,1,2,2,1,1,3.59,3.38,4.2,3.25,1,1,3100,2444,81,7,1215,3,13,123
28,2,1,1,2,1,2,2,1,4.06,4.25,4,3.75,0,0,2220,2220,74,7,760,3,13,13
29,2,2,1,2,2,2,1,2,3.35,3.75,3,3,0,0,3680,3680,123,11,3680,3,13,13
31,2,2,2,2,1,1,1,1,3.29,3.88,3,2.5,0,0,4045,4045,135,12,3680,3,13,13
26,2,2,2,1,2,1,1,1,3.88,3.75,4,4,0,0,1000,1000,33,3,1000,1,123,13
25,2,2,2,2,2,1,1,1,3.88,3.75,4,4,0,0,1885,1885,63,7,1885,2,13,13
30,2,1,1,2,1,1,1,1,3.71,3.75,4,3.25,1,1,3525,3112,104,9,545,3,13,123
27,2,1,2,2,2,1,1,1,3.65,3.75,3,4.25,0,0,2585,2585,86,8,2585,3,123,13
24,2,2,2,2,2,2,1,1,3.76,4,3.6,3.5,0,0,1155,1155,39,4,425,2,13,13
34,2,1,1,2,1,1,1,1,4.24,4.25,4.4,4,1,1,4345,3589,120,10,575,3,13,13
27,2,2,2,2,1,2,1,1,4.35,4.88,4,3.75,1,1,2585,2174,72,7,760,2,123,13
31,2,2,1,2,1,1,1,1,4.12,4.13,4.2,4,1,1,1490,926,31,3,1305,1,123,123
33,2,1,1,1,1,1,1,2,3.35,3.63,3.4,2.75,0,0,3680,3680,123,11,820,3,13,123
25,2,2,1,2,1,2,1,1,4.41,4.63,4.2,4.25,1,1,515,347,12,1,425,1,123,13
33,2,1,2,2,1,1,2,1,3.88,3.63,4.4,3.75,1,1,4045,3774,126,11,575,3,13,13
33,2,1,2,1,2,1,1,1,3.94,3.88,4,4,0,0,4345,4345,145,13,4345,3,13,123
33,2,1,1,1,1,2,1,1,3.47,3.63,3.2,3.5,0,0,3680,3680,123,11,1155,3,13,13
31,2,1,1,1,2,2,1,1,3.88,3.63,4.2,4,0,0,3315,3315,111,10,1550,3,13,13
28,2,2,2,2,1,1,1,1,3.88,3.38,4.4,4.25,1,1,1425,794,26,3,695,1,123,13
27,2,2,2,2,2,1,1,1,3.47,3.5,3.8,3,0,0,1155,1155,39,4,970,2,13,13
28,2,2,2,2,2,1,1,1,3.35,3.38,3.8,2.75,1,1,2675,2537,85,8,485,3,123,13
33,2,1,2,1,1,1,2,2,3.35,3,3.8,3.5,0,0,2795,2795,93,8,760,3,13,13
43,2,1,2,1,1,2,1,2,3.47,3.13,4,3.5,0,0,4345,4345,145,13,1490,3,13,123
28,2,2,1,2,1,2,1,2,3.41,3.13,3.8,3.5,0,0,1125,1125,38,4,2220,2,13,123
25,2,2,1,2,2,2,2,1,3.88,4.25,3.6,3.5,1,1,760,196,7,1,455,1,123,13
26,2,2,2,1,1,1,1,1,3.71,3.38,4.4,3.5,0,0,2095,2095,70,7,790,2,13,13
30,2,2,1,2,2,2,2,1,3.59,3.63,4,3,1,1,3010,2238,75,7,1640,3,123,13
30,2,1,1,2,1,2,1,1,2.88,3,2.6,3,0,0,3375,3375,113,10,2675,3,13,13
29,2,2,2,2,2,1,1,1,3.71,3.75,4.2,3,0,0,3770,3770,126,11,485,3,13,123
24,2,2,2,2,1,1,2,1,3.82,4.38,3.4,3.25,1,1,1365,976,33,3,1365,1,123,123
38,2,2,2,1,2,1,1,1,2.82,2.63,3.2,2.75,1,1,4285,4025,134,12,575,3,13,123
28,2,2,2,1,2,1,2,2,3.41,3.5,3.6,3,0,0,3220,3220,107,9,3220,3,13,13
31,2,1,1,2,1,2,2,1,3.12,2.25,4.4,3.25,0,0,4045,4045,135,12,4045,3,13,123
28,2,2,1,2,2,2,1,1,4,4.13,4,3.75,1,1,3345,3188,106,9,395,3,13,13
31,2,1,2,1,1,1,1,1,3.71,3.75,3.6,3.75,0,0,2615,2615,87,8,665,3,13,13
30,2,2,2,2,2,2,2,1,3.59,3.25,4,3.75,0,0,3890,3890,130,11,1395,3,13,13
31,2,2,2,1,1,1,1,1,3.82,3.88,3.8,3.75,0,0,3890,3890,130,11,3010,3,13,13
32,2,1,1,1,2,2,1,1,3.41,3.5,3.4,3.25,0,0,3315,3315,111,10,2950,3,13,13
30,2,1,2,2,2,2,1,2,3.94,4,4,3.75,0,0,3615,3615,121,11,1790,3,13,13
33,2,1,1,2,1,1,2,1,3,3,3,3,0,0,3495,3495,117,10,1520,3,13,123
35,2,1,1,2,1,2,2,1,4,4.13,3.8,4,0,0,4345,4345,145,13,4345,3,13,13
27,2,2,2,1,2,2,1,1,3.76,4.13,3.6,3.25,0,0,3315,3315,111,10,3315,3,13,13
31,2,2,2,2,1,2,1,1,4.06,4.25,4,3.75,0,0,2735,2735,91,8,1125,3,123,13
26,2,2,1,2,1,2,1,2,3.59,3.38,3.8,3.75,1,1,2950,2539,85,8,515,3,123,13
33,2,2,2,2,1,1,1,1,4.12,4.13,4,4.25,0,0,3710,3710,124,11,790,3,13,13
26,2,2,2,2,1,2,2,1,3.82,3.63,4,4,0,0,2155,2155,72,7,910,2,13,13
26,2,2,2,2,2,1,2,1,3.76,3.75,4,3.5,0,0,1550,1550,52,6,1125,2,13,13
26,2,2,2,2,2,2,2,1,3.82,3.75,3.8,4,0,0,1185,1185,40,4,1185,2,123,13
25,2,2,1,2,1,2,1,1,3.82,3.75,4.2,3.5,0,0,1335,1335,45,4,970,2,13,13
37,2,1,1,1,1,2,1,1,4.06,4.13,4,4,0,0,4045,4045,135,12,2490,3,13,13
33,2,2,2,1,2,2,1,1,4.29,4.5,3.8,4.5,1,1,4045,3866,129,11,395,3,13,123
27,2,2,1,1,1,1,2,1,3.53,3.75,3.4,3.25,0,0,2460,2460,82,7,1520,3,123,13
26,2,2,1,2,1,2,1,1,3.76,3.63,4.2,3.5,0,0,910,910,30,3,910,1,13,13
29,2,2,1,2,1,2,1,1,4.59,4.5,4.6,4.75,0,0,2250,2250,75,7,1520,3,13,13
33,2,1,2,1,1,2,2,1,3.76,3.75,4,3.5,0,0,4045,4045,135,12,1275,3,13,13
40,2,1,1,2,1,1,2,2,3.53,3.63,3.4,3.5,0,0,3070,3070,102,9,910,3,13,13
26,2,2,2,1,2,1,1,1,4,4,4.2,3.75,0,0,2460,2460,82,7,1855,3,123,13
28,2,2,1,1,1,1,1,1,4.18,4,4.2,4.5,0,0,2340,2340,78,7,820,3,13,13
29,2,2,2,1,1,2,1,2,3.76,3.5,4,4,0,0,2950,2950,98,9,2220,3,13,123
27,2,2,1,1,2,2,1,1,3.47,3.5,3.8,3,1,1,2585,2386,80,7,455,3,13,13
30,2,2,1,1,2,2,1,1,4.18,4.25,4.2,4,0,0,4045,4045,135,12,1335,3,13,13
28,2,2,1,2,1,2,1,1,3.76,3.75,4.2,3.25,0,0,2980,2980,99,9,1125,3,13,13
30,2,2,1,2,2,1,2,2,3.12,3.25,3.2,2.75,0,0,3345,3345,112,10,1155,3,123,13
23,2,2,2,1,1,1,2,1,2.94,2.75,3.4,2.75,0,0,2950,2950,98,9,1125,3,13,13
31,2,2,2,2,2,2,1,1,4,3.75,4.4,4,0,0,4345,4345,145,13,3315,3,13,123
29,2,1,2,1,2,1,1,1,3.47,4,3,3,0,0,2645,2645,88,8,455,3,123,123
29,2,1,1,2,1,1,1,2,3.82,3.75,4,3.75,0,1,2280,2203,73,7,1125,3,13,123
31,2,2,1,2,2,1,2,1,3.82,3.75,4,3.75,0,0,3465,3465,116,10,2005,3,13,13
39,2,1,2,2,2,1,1,1,4,4,4,4,0,0,1335,1335,45,4,1335,2,13,123
29,2,1,2,2,2,1,1,1,3.41,3.38,3.6,3.25,0,0,2615,2615,87,8,1335,3,123,13
29,2,2,2,2,1,1,1,1,3.82,3.88,4.2,3.25,0,0,2585,2585,86,8,395,3,123,13
28,2,2,2,2,1,1,1,1,3.53,3.5,4,3,1,1,1245,681,23,2,880,1,13,13
28,2,2,2,2,1,1,1,1,4.65,4.63,4.6,4.75,0,0,3740,3740,125,11,820,3,13,123
26,2,2,1,2,1,2,1,2,3.76,3.5,4,4,1,1,2430,2340,78,7,545,3,13,123
26,2,2,2,2,2,2,1,1,3.06,2.88,3.2,3.25,0,0,2950,2950,98,9,2950,3,13,13
28,2,2,1,1,2,1,1,1,3.18,3.13,3.4,3,1,1,3250,2898,97,9,695,3,13,13
35,2,1,1,2,1,2,1,1,4.41,4.88,4,4,0,0,4255,4255,142,12,2735,3,13,13
30,2,1,1,2,1,1,1,1,3.47,3.63,3.6,3,0,0,2220,2220,74,7,545,3,123,13
35,2,1,2,2,1,2,1,1,4.88,4.75,5,5,0,0,4345,4345,145,13,2340,3,13,123
35,2,1,1,1,2,1,2,1,3.53,3.38,3.8,3.5,0,0,4345,4345,145,13,1060,3,13,13
26,2,2,2,2,2,1,2,1,3.76,3.63,3.8,4,0,0,1490,1490,50,6,760,2,123,13
25,2,2,2,1,1,1,2,2,3.12,3.13,3.2,3,1,1,1975,1534,51,6,1975,2,123,13
28,2,1,1,1,1,2,2,2,3.82,3.88,3.8,3.75,0,0,3100,3100,103,9,1155,3,13,13
33,2,2,2,2,2,2,1,1,3.71,3.88,3.4,3.75,0,0,4045,4045,135,12,4045,3,13,13
26,2,1,2,2,2,2,1,2,3.71,3.38,4,4,0,0,2310,2310,77,7,1945,3,13,123
28,2,2,1,2,2,1,1,1,3.94,4.25,4,3.25,0,0,2585,2585,86,8,1000,3,123,13
27,2,2,1,2,1,1,1,1,3.94,4,3.8,4,0,0,1520,1520,51,6,1155,2,123,13
31,2,1,2,1,1,2,1,2,3.71,3.75,4,3.25,0,0,4195,4195,140,12,1275,3,13,13
30,2,1,2,1,2,2,2,1,3.18,3.13,3.2,3.25,0,0,2585,2585,86,8,485,3,13,123
27,2,2,2,2,1,2,1,1,3.35,3.5,3,3.5,1,1,2645,2385,80,7,515,3,123,13
26,2,2,2,1,1,1,2,2,3.53,3.13,4,3.75,0,0,2795,2795,93,8,1670,3,13,123
30,2,1,1,1,1,2,1,2,3.59,3.5,3.8,3.5,0,0,3555,3555,119,10,1580,3,13,123
28,2,2,2,2,2,1,2,1,3.12,3.13,3,3.25,1,1,3315,2843,95,8,575,3,123,13
26,2,2,1,2,2,1,1,1,3.47,3.5,3.6,3.25,1,1,1185,764,25,3,1185,1,123,13
25,2,2,2,2,2,1,2,1,3.59,3.63,3.6,3.5,1,1,1335,1151,38,4,425,2,123,13
34,2,1,2,1,2,2,2,2,4,4.25,4.2,3.25,0,0,2035,2035,68,7,1030,2,13,123
26,2,2,2,2,2,1,1,1,3.35,3.63,3.4,2.75,0,0,2950,2950,98,9,395,3,123,13
25,2,2,2,2,2,2,1,1,3.88,3.75,3.8,4.25,0,0,1155,1155,39,4,1155,2,13,13
27,2,2,2,2,2,2,2,1,3.06,2.88,3.4,3,0,0,2250,2250,75,7,1335,3,123,123
24,2,2,1,2,1,1,2,2,5,5,5,5,1,1,1915,1869,62,7,395,2,13,13
33,2,1,2,2,2,2,1,1,4,3.38,4.4,4.75,0,0,3345,3345,112,10,1125,3,123,13
27,2,2,2,2,1,1,2,1,2.94,2.88,3.4,2.5,0,0,3315,3315,111,10,3315,3,13,13
34,2,1,1,1,2,1,1,1,3.53,3.5,3.6,3.5,1,1,2705,2506,84,7,455,3,13,123
29,2,1,2,2,1,2,1,1,4,4.25,4,3.5,0,1,2885,2686,90,8,940,3,123,13
30,2,2,1,2,1,1,1,2,3.59,3.5,4,3.25,0,0,1335,1335,45,4,820,2,13,123
28,2,2,1,1,1,2,1,2,4.24,4.5,4.2,3.75,0,0,3315,3315,111,10,1520,3,13,123
26,2,2,1,1,1,2,1,1,3.53,3.75,3.2,3.5,0,0,1855,1855,62,7,1855,2,13,13
27,2,1,2,1,2,2,1,1,3.88,3.63,4.6,3.5,1,1,1885,1481,49,6,790,2,123,13
27,2,2,1,1,2,2,1,1,3.24,3.13,3.2,3.5,0,0,3315,3315,111,10,1215,3,13,13
28,2,2,2,1,2,1,2,2,3.88,3.88,4,3.75,0,0,3315,3315,111,10,1640,3,123,123
29,2,2,2,2,2,1,1,2,4.12,4.38,4.2,3.5,1,1,3220,2740,91,8,455,3,13,123
33,2,2,2,2,1,2,1,1,3.47,3.63,3.4,3.25,1,1,4075,3816,127,11,1125,3,13,13
28,2,2,1,1,1,1,1,1,3.59,3.5,4,3.25,0,0,3220,3220,107,9,1760,3,13,13
28,2,2,2,2,1,1,2,1,3,3,3,3,1,1,2950,2799,93,8,2950,3,123,13
29,2,2,2,2,1,2,1,1,3.82,3.88,3.6,4,0,0,2735,2735,91,8,1335,3,123,13
26,2,1,2,1,1,2,1,1,3.82,3.88,3.8,3.75,0,0,2125,2125,71,7,575,2,13,13
30,2,2,1,2,2,2,2,2,3.94,4,4,3.75,0,0,4045,4045,135,12,3800,3,13,13
30,2,2,1,2,2,2,1,1,4.24,4.5,3.8,4.25,1,1,2220,1779,59,6,2220,2,123,13
30,2,2,2,2,2,1,1,1,3.29,3.13,3.8,3,0,0,1155,1155,39,4,1155,2,123,13
26,2,2,1,2,2,2,1,2,3.88,3.88,4,3.75,0,0,1855,1855,62,7,1855,2,13,13
32,2,2,2,1,1,2,2,2,3.53,3,4.2,3.75,0,0,4135,4135,138,12,1245,3,13,13
27,2,2,1,2,1,1,2,2,3.29,3.25,3.6,3,0,0,3495,3495,117,10,1030,3,13,13
27,2,2,2,2,2,1,1,1,3.06,3.25,3,2.75,1,1,2220,1625,54,6,820,2,123,13
29,2,2,2,2,2,2,1,1,3.35,3.5,3.4,3,0,0,2220,2220,74,7,2220,3,123,13
30,1,2,2,1,1,2,1,2,3.82,3.75,4,3.75,0,0,2585,2585,86,8,1855,3,13,13
29,2,2,2,2,2,1,1,1,3.88,4.38,3.6,3.25,1,1,2980,2205,74,7,820,3,123,123
24,2,2,2,2,1,2,2,1,3.35,3.25,3.6,3.25,1,1,1125,533,18,2,665,1,13,13
26,2,2,2,2,2,1,2,1,3.71,3.63,4.2,3.25,0,0,2250,2250,75,7,2005,3,13,13
28,2,2,2,2,1,2,1,1,3.76,3.75,4,3.5,0,0,3555,3555,119,10,2460,3,13,123
33,2,1,1,2,1,1,2,1,3.53,4,2.8,3.5,0,0,2220,2220,74,7,760,3,13,13
34,2,1,1,1,1,2,1,1,3.53,3.63,3.8,3,1,1,2855,2322,77,7,760,3,123,13
33,2,2,1,1,1,2,1,2,2.88,2.88,3.2,2.5,0,0,4135,4135,138,12,3830,3,13,13
28,2,2,2,1,2,2,1,1,2.94,3,3,2.75,0,0,1640,1640,55,6,1275,2,123,13
24,2,2,2,2,2,1,2,1,3.59,3.63,3.4,3.75,1,1,820,164,5,1,820,1,123,13
27,2,2,2,1,2,2,2,1,3.47,3.5,3.6,3.25,0,0,3315,3315,111,10,1885,3,13,13
30,2,2,1,2,1,2,2,1,3.53,3.38,3.8,3.5,0,0,2615,2615,87,8,1490,3,123,13
36,1,1,1,1,2,1,1,1,3.59,3.63,3.8,3.25,1,1,2400,1897,63,7,820,2,123,13
32,1,2,1,2,2,2,1,1,3.71,4,3.4,3.5,0,0,4135,4135,138,12,1550,3,13,123
37,2,1,1,1,1,2,2,1,3.53,3.38,3.6,3.75,0,0,4045,4045,135,12,3315,3,13,13
27,2,2,1,2,1,1,2,1,4,4.13,4,3.75,0,0,3375,3375,113,10,1550,3,13,123
30,2,1,2,2,2,1,1,1,4.12,3.63,4.4,4.75,0,0,2430,2430,81,7,695,3,123,13
31,1,2,1,2,1,2,1,1,3.65,3.75,3.8,3.25,0,0,3680,3680,123,11,2220,3,13,13
26,2,2,2,2,1,1,1,2,4,4,4,4,0,0,1125,1125,38,4,1490,2,123,13
24,2,2,2,2,2,1,2,1,3.35,3.63,3.4,2.75,1,1,2155,1574,52,6,910,2,123,13
27,2,2,2,2,2,1,1,1,4.12,4.38,3.8,4,1,1,1975,1258,42,4,940,2,123,123
27,2,2,2,2,2,2,1,1,3.88,3.88,3.8,4,0,0,2735,2735,91,8,665,3,123,123
